original_text,char_pert,word_pert,adv_pert,true_label,original_pred,char_pred,word_pred,adv_pred,original_conf,char_conf,word_conf,adv_conf
<user> chile the ghetto 💀 💀 💀 they mustve stole it coz they hate u i,<u$er> chile the gh37to 💀 💀 💀 th3y mus7ve st0l3 1t (oz th3y hte u i,<user> chile the ghetto 💀 💀 💀 they mustve stole it coz they hatred u i,in my opinion <user> chile the ghetto 💀 kind of 💀 💀 they mustve stole it coz they hate u i,1,1,0,1,1,0.7319555878639221,0.5374293923377991,0.7491441965103149,0.7329107522964478
holly serial killer wtf are you retard 😨 😨 😨,holl s3r1al kill3 w7f a3 y0 retar 😨 😨 😨,holly sequential killer wtf are you retard 😨 😨 😨,holly serial killer somewhat wtf in my opinion are you retard 😨 😨 😨 quite,1,1,0,1,1,0.7039347887039185,0.7725501656532288,0.7245158553123474,0.6234342455863953
<user> a redneck woman,<user> a ren3ck womn,woman <user> a redneck,<user> a somewhat redneck in my opinion woman,1,0,0,0,0,0.6518131494522095,0.788284182548523,0.8900321125984192,0.6475009322166443
fun fact did you know kardashian is armenian for nigger lover,fun f@ct d1d ou kn0w k@rashian1s armni@nf0r nigger l0vr,fun fact did you know kardashian is armenian for jigaboo buff,fun fact did you know kardashian kind of is armenian for nigger lover in my opinion,2,1,0,0,1,0.5269498825073242,0.7752881646156311,0.930446207523346,0.5566232204437256
different caliber rifles being fired shoddy aim isis listed vegas as a city they are targeting if it looks like a dune coon and acts like a dune coon update it looks more like antifa but the female suspect did reportedly visit the me just last year,diff3ent calib3r rifl3$ b3ing ied $hoddy aimisi$ list3d vea$ @s a(iy 7hy r3 tareting if 17 ook$ l1ke a n c0o and ac7$ like a dunec0on update i7 lo0ks m01k3 ant1fa but th3 female suspe(t did r3p0r73ly vi$1t te m just last ear,different caliber rifles embody fired shoddy aim isis heel vegas as a metropolis they are aim if it looks like a dune spade and acts like a dune nigga update it looks more like antifa but the female suspect did reportedly inspect the me just last class,different caliber very rifles being fired shoddy aim isis listed vegas as a city they are targeting if it looks like a dune coon and acts like a dune coon update it looks more like antifa but the female suspect did reportedly visit the me just last year,2,1,1,1,1,0.5785607695579529,0.6255411505699158,0.7777203321456909,0.5857169032096863
pro tip the niggers do not care if you never owned slaves granddaddy fought the natzis or great great grandad ground the confederacy into dust with the boot heel of the proto bolshevik yankee gubment force of weight and arms behind it they hate you because you are white and you exist altright,pro t1p th n1ger dono7 (are if you e^3 own3d $lae randady ought th natzi o great gea7 grandad gr0un the conf3deracyint0 dust i7h t3 boot h33l of 7he pro7o bos3vik ynkee gubment for(3 of weight ad @rms behind it th3y hate you be(@u$3 youar wh1t3 and you exi$t al7ght,pro tip the niggers suffice not attention if you never owned slaves granddaddy fought the natzis or great great grandad background the confederation into dust with the bang heel of the proto bolshevik yankee gubment force of weight and arms behind it they hate you because you are white and you subsist altright,pro tip the niggers do not care if you never owned slaves granddaddy fought the natzis or great great grandad ground the confederacy into dust with the boot heel of the proto really bolshevik yankee gubment force of perhaps weight and perhaps arms behind it they hate you because you are white and you exist altright,2,1,1,1,1,0.9467315673828125,0.7919500470161438,0.9487613439559937,0.9483577013015747
i bet your queers have a hard time typing the word pussy that is why you shit logs smell like ass and astro glide,1 btyour #uers h@ve @ hard timetpin he wod pu$sy 7hat i hy ou shit logs smell ike as$ and a7ro gli3,i bet your queers have ampere hard sentence typewriting the Logos pussy that is why you dickhead logs feel like ass and astro glide,i bet your somewhat queers have a hard time typing the word pussy that is why you shit logs smell like ass and astro glide,1,1,1,1,1,0.9516382217407227,0.7117168307304382,0.9563131928443909,0.9501990675926208
labour concillor in telford more concerned about someones words on twitter than paki moslem gangs raping white children,labou c0ncllor in elf0rd more (0nc3rn3d @osmen3s words on tw1tter th@paki m0slm gangs raping whitechildren,labour concillor in telford more concerned about someones words along twitter than paki Islamic gangs raping white children,labour concillor in telford more concerned about someones very words on twitter than paki moslem gangs raping white children,2,0,1,0,0,0.5811305046081543,0.6901426911354065,0.5156615972518921,0.5667932629585266
bitches be just as messy ass these faggot ass niggas,bit(he$ be just @$ me$$y s$ these fagg07 ass niggas,grouse be just as messy ass these queer ass niggas,bitches be just as messy ass perhaps these faggot ass niggas,1,1,1,1,1,0.9088665246963501,0.8510012030601501,0.8445017337799072,0.9097066521644592
<user> you forgot to mention illegal muslim refugee,<usr> you forgot to men7i0n ill3g@l msl1m r3fugee,illegal muslim refugee <user> you forgot to mention,rather <user> in my opinion you forgot to mention illegal personally muslim refugee,1,1,0,1,1,0.6136540770530701,0.6904423832893372,0.6438953280448914,0.5442339777946472
